region,2023,unit
Guayas,4233814.00,人
Pichincha,1949114.00,人
Azuay,441953.00,人
Santo Domingo de los Tsáchilas,370300.00,人
El Oro,511741.00,人
Manabí,868847.00,人
Loja,256151.00,人
Los Ríos,438661.00,人
Tungurahua,212635.00,人
Chimborazo,203862.00,人
Esmeraldas,244576.00,人
Imbabura,226715.00,人
Cotopaxi,153805.00,人
Carchi,71216.00,人
Sucumbíos,55627.00,人
Santa Elena,54565.00,人
Orellana,51281.00,人
Cañar,75363.00,人
Pastaza,33325.00,人
Bolívar,49380.00,人
Napo,29724.00,人
Morona-Santiago,42694.00,人
Zamora-Chinchipe,30919.00,人
Galápagos,33448.00,人
